capture_id,sample_id,bmi323_x_G,bmi323_y_G,bmi323_z_G,adxl375_x_G,adxl375_y_G,adxl375_z_G
1,22,-1.006593,0.009890,-0.008059,-0.588000,0.294000,-0.294000
1,23,-1.007082,0.008181,-0.006716,-0.539000,0.196000,-0.294000
1,24,-1.005006,0.008669,-0.007692,-0.539000,0.245000,-0.245000
1,25,-1.007326,0.008791,-0.006838,-0.490000,0.245000,-0.294000
1,26,-1.007570,0.008547,-0.009280,-0.637000,0.245000,-0.343000
1,27,-1.006960,0.007937,-0.008303,-0.490000,0.245000,-0.196000
1,28,-1.007448,0.007448,-0.008913,-0.441000,0.343000,-0.196000
1,29,-1.006227,0.008547,-0.007692,-0.490000,0.343000,-0.392000
1,30,-1.005861,0.008791,-0.005739,-0.588000,0.245000,-0.245000
1,31,-1.006471,0.008303,-0.008669,-0.539000,0.245000,-0.294000
1,32,-1.008669,0.008669,-0.007448,-0.539000,0.245000,-0.294000
1,33,-1.006716,0.009035,-0.007570,-0.588000,0.343000,-0.343000
1,34,-1.005128,0.008913,-0.008425,-0.588000,0.343000,-0.343000
1,35,-1.007692,0.009646,-0.007937,-0.588000,0.294000,-0.343000
1,36,-1.004396,0.007326,-0.006960,-0.539000,0.294000,-0.196000
1,37,-1.006838,0.008913,-0.008547,-0.588000,0.196000,-0.294000
1,38,-1.006227,0.007082,-0.008181,-0.637000,0.245000,-0.343000
1,39,-1.007204,0.007448,-0.007814,-0.637000,0.245000,-0.343000
1,40,-1.005250,0.008059,-0.007082,-0.588000,0.343000,-0.392000
1,41,-1.008425,0.007692,-0.007570,-0.588000,0.294000,-0.294000
1,42,-1.005617,0.007814,-0.007570,-0.539000,0.294000,-0.343000
1,43,-1.006593,0.009035,-0.009402,-0.588000,0.294000,-0.294000
1,44,-1.006227,0.007692,-0.008303,-0.539000,0.245000,-0.343000
1,45,-1.007570,0.008669,-0.006349,-0.637000,0.294000,-0.245000
1,46,-1.006716,0.009890,-0.008303,-0.539000,0.294000,-0.245000
1,47,-1.005250,0.008303,-0.007937,-0.539000,0.245000,-0.343000
1,48,-1.007692,0.007448,-0.006349,-0.490000,0.196000,-0.245000
1,49,-1.005983,0.008913,-0.007082,-0.588000,0.343000,-0.245000
1,50,-1.006960,0.006960,-0.007814,-0.539000,0.245000,-0.294000
