magic,size,crc16,status_flags,time_boot_ms,ms5607_pressure_mbar,ms5607_temperature_c,bmi323_accel_x,bmi323_accel_y,bmi323_accel_z,bmi323_gyro_x,bmi323_gyro_y,bmi323_gyro_z,adxl375_accel_x,adxl375_accel_y,adxl375_accel_z,bm1422_magn_x,bm1422_magn_y,bm1422_magn_z,gps_lat,gps_lng,gps_alt,gps_speed,gps_course,gps_num_sats
"COREYMAY3",98,31038,0,9487015,901.739990,52.730000,0.091453,0.041148,0.987179,-0.121951,-0.121951,0.060976,0.539000,0.294000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,9041,0,9487025,901.739990,52.730000,0.110501,0.082418,1.010256,0.000000,-0.121951,0.060976,0.490000,0.392000,0.441000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,18297,0,9487035,901.770020,52.730000,0.074969,0.047741,0.978632,0.000000,-0.060976,0.060976,0.490000,0.245000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,11086,0,9487045,901.770020,52.730000,0.104640,0.078999,1.003907,-0.060976,-0.121951,-0.304878,0.637000,0.294000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,46515,0,9487055,901.770020,52.730000,0.104274,0.054823,1.011233,-0.182927,-0.060976,-0.548781,0.588000,0.245000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,40304,0,9487065,901.770020,52.730000,0.063004,0.064225,0.970208,-0.243902,-0.060976,-0.304878,0.588000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,30301,0,9487075,901.780029,52.730000,0.110501,0.053358,1.010378,-0.182927,-0.121951,0.060976,0.539000,0.392000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,15617,0,9487085,901.780029,52.730000,0.102686,0.064347,0.994383,-0.060976,-0.121951,0.243902,0.637000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,15814,0,9487095,901.780029,52.730000,0.057875,0.061172,0.987302,-0.060976,-0.121951,-0.121951,0.539000,0.392000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,42707,0,9487105,901.780029,52.730000,0.109524,0.073138,1.017216,-0.243902,-0.121951,-0.670732,0.539000,0.392000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,24506,0,9487115,901.770020,52.730000,0.077534,0.064103,0.982051,-0.365854,-0.182927,-0.548781,0.539000,0.392000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,27060,0,9487125,901.770020,52.730000,0.088767,0.037607,0.993895,-0.365854,-0.182927,-0.304878,0.490000,0.196000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,56797,0,9487135,901.770020,52.730000,0.089133,0.084982,1.002808,-0.182927,-0.182927,0.243902,0.637000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,50563,0,9487145,901.770020,52.730000,0.102076,0.058120,0.985470,-0.182927,-0.243902,0.426829,0.637000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,64299,0,9487155,901.789978,52.730000,0.082540,0.075946,1.003785,-0.182927,-0.243902,0.000000,0.490000,0.392000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,15591,0,9487165,901.789978,52.730000,0.095726,0.048840,0.995360,-0.365854,-0.182927,0.365854,0.588000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,29413,0,9487175,901.789978,52.730000,0.084615,0.052503,0.989621,-0.365854,-0.243902,0.731707,0.588000,0.392000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,46356,0,9487185,901.789978,52.730000,0.098046,0.071429,0.998657,-0.243902,-0.243902,0.975610,0.539000,0.392000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,23894,0,9487195,901.770020,52.730000,0.097070,0.056410,0.983272,-0.121951,-0.243902,1.341463,0.539000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,8842,0,9487205,901.770020,52.730000,0.108669,0.073748,1.005250,-0.182927,-0.243902,0.731707,0.490000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,19151,0,9487215,901.770020,52.730000,0.080220,0.031136,1.006227,-0.365854,-0.243902,0.243902,0.539000,0.392000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,20626,0,9487225,901.770020,52.730000,0.090720,0.073016,0.979731,-0.426829,-0.182927,0.487805,0.588000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,39530,0,9487235,901.780029,52.730000,0.117582,0.035409,1.007082,-0.304878,-0.182927,0.548781,0.539000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
